Title,Author,Average Rating,Top 3 Genres,First Published
A Christmas Carol,Charles Dickens,4.09 avg rating,"Fiction, Christmas, Classics",1843
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19 avg rating,"Childrens, Picture Books, Fiction",1957
The Outsiders,S.E. Hinton,4.14 avg rating,"Classics, Young Adult, Fiction",1967
A Thousand Splendid Suns,Khaled Hosseini,4.45 avg rating,"Fiction, Historical Fiction, Historical",2007
One hundred years of solitude,Gabriel García Márquez,4.12 avg rating,"Fiction, Magical Realism, Fantasy",1967
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32 avg rating,"Classics, Fiction, Young Adult",1908
The Grapes of Wrath,John Steinbeck,4.02 avg rating,"Classics, Fiction, Historical Fiction",1939
The Count of Monte Cristo,Alexandre Dumas,4.31 avg rating,"Fiction, Historical Fiction, Adventure",1846
Where the Sidewalk Ends,Shel Silverstein,4.34 avg rating,"Poetry, Childrens, Classics",1974
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31 avg rating,"Science Fiction, Fiction, Young Adult",1985
Where the Wild Things Are,Maurice Sendak,4.25 avg rating,"Picture Books, Childrens, Fiction",1963
The Color Purple,Alice Walker,4.27 avg rating,"Fiction, Historical Fiction, Feminism",1982
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15 avg rating,"Fiction, Classics, Dystopia",1985
The Adventures of Tom Sawyer,Mark Twain,3.92 avg rating,"Fiction, Classics, Adventure",1876
A Tale of Two Cities,Charles Dickens,3.87 avg rating,"Classics, Fiction, Historical Fiction",1859
Life of Pi,Yann Martel,3.94 avg rating,"Fiction, Fantasy, Classics",2001
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88 avg rating,"Horror, Fiction, Science Fiction",1818
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20 avg rating,"Fiction, Classics, Psychology",1962
"Oh, the Places You’ll Go!",Dr. Seuss,4.37 avg rating,"Childrens, Picture Books, Fiction",1990
Anna Karenina,Leo Tolstoy,4.10 avg rating,"Fiction, Romance, Russia",1878
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.19 avg rating,"Nonfiction, Memoir, Biography",1997
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40 avg rating,"Fantasy, Classics, Fiction",1954
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10 avg rating,"Fiction, Science Fiction, Classics",1969
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38 avg rating,"Childrens, Fiction, Classics",1928
The Old Man and the Sea,Ernest Hemingway,3.81 avg rating,"Fiction, Literature, Novels",1952
Catch-22,Joseph Heller,3.99 avg rating,"Classics, Fiction, Historical Fiction",1961
The Scarlet Letter,Nathaniel Hawthorne,3.44 avg rating,"Fiction, Historical Fiction, School",1850
The Alchemist,Paulo Coelho,3.92 avg rating,"Fiction, Fantasy, Philosophy",1988
Macbeth,William Shakespeare,3.89 avg rating,"Classics, Plays, Fiction",1623
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66 avg rating,"Fantasy, Young Adult, Romance",2005
The Metamorphosis,Franz Kafka,3.89 avg rating,"Classics, Fiction, Fantasy",1915
Lolita,Vladimir Nabokov,3.87 avg rating,"Fiction, Literature, Russia",1955
The Stranger,Albert Camus,4.03 avg rating,"Classics, Fiction, Philosophy",1942
Siddhartha,Hermann Hesse,4.08 avg rating,"Fiction, Philosophy, Spirituality",1922
