Title,Author,Average Rating,Top 3 Genres,First Published
The World According to Garp,John Irving,4.11 avg rating,"Fiction, Classics, Literature",1978
The Story of My Life,Helen Keller,4.08 avg rating,"Nonfiction, Biography, Memoir",1902
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25 avg rating,"Fantasy, Fiction, Humor",1990
A Brief History of Time,Stephen Hawking,4.21 avg rating,"Science, Nonfiction, Physics",1988
The Secret Magdalene,Ki Longfellow,4.15 avg rating,"Historical Fiction, Fiction, Religion",2005
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74 avg rating,"Fiction, Classics, Historical Fiction",1958
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13 avg rating,"Mystery, Fiction, Crime",1901
Hidden Pictures,Jason Rekulak,4.16 avg rating,"Horror, Thriller, Mystery",2022
Island of the Blue Dolphins,Scott O'Dell,3.87 avg rating,"Fiction, Young Adult, Historical Fiction",1960
A Short History of Nearly Everything,Bill Bryson,4.22 avg rating,"Nonfiction, Science, History",2003
The Addiction Manifesto,Jerry Weaver,4.76 avg rating,"Nonfiction, Self Help, Memoir",2018
Cat’s Cradle,Kurt Vonnegut Jr.,4.15 avg rating,"Fiction, Classics, Science Fiction",1963
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.34 avg rating,"Fiction, Book details & editions, ",2013
The Raven,Edgar Allan Poe,4.29 avg rating,"Classics, Poetry, Horror",1845
A Farewell to Arms,Ernest Hemingway,3.82 avg rating,"Fiction, Historical Fiction, Classics",1929
A Separate Peace,John Knowles,3.60 avg rating,"Classics, Fiction, Historical Fiction",1959
Blindness,José Saramago,4.18 avg rating,"Fiction, Dystopia, Classics",1995
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28 avg rating,"Fiction, Historical Fiction, Classics",1987
The Complete Fairy Tales,Hans Christian Andersen,4.29 avg rating,"Classics, Fantasy, Fiction",1850
The Shack,William Paul Young,3.83 avg rating,"Fiction, Christian, Christian Fiction",2007
Tao Te Ching,Lao Tzu,4.29 avg rating,"Philosophy, Nonfiction, Classics",Unknown
Madame Bovary,Gustave Flaubert,3.71 avg rating,"Fiction, Classics, France",1856
The Joy Luck Club,Amy Tan,3.97 avg rating,"Fiction, Historical Fiction, Classics",1989
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,3.95 avg rating,"Fiction, Mystery, Thriller",2000
How to Win Friends & Influence People,Dale Carnegie,4.22 avg rating,"Self Help, Nonfiction, Business",1936
The God Delusion,Richard Dawkins,3.90 avg rating,"Nonfiction, Religion, Science",2006
The Neverending Story,Michael Ende,4.18 avg rating,"Fantasy, Fiction, Young Adult",1979
Sophie’s Choice,William Styron,4.17 avg rating,"Fiction, Historical Fiction, Holocaust",1979
Never Let Me Go,Kazuo Ishiguro,3.85 avg rating,"Fiction, Science Fiction, Dystopia",2005
A Confederacy of Dunces,John Kennedy Toole,3.89 avg rating,"Fiction, Humor, Literature",1980
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04 avg rating,"History, Nonfiction, Science",1997
The Color Purple,Alice Walker,4.27 avg rating,"Fiction, Historical Fiction, Feminism",1982
Tess of the D’Urbervilles,Thomas Hardy,3.84 avg rating,"Classics, Fiction, Literature",1891
Flow Down Like Silver,Ki Longfellow,4.01 avg rating,"Historical Fiction, Fiction, Egypt",2009
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97 avg rating,"Fiction, Historical Fiction, Contemporary",2005
Local Woman Missing,Mary Kubica,4.13 avg rating,"Thriller, Mystery, Mystery Thriller",2021
"Outlander (Outlander, #1)",Diana Gabaldon,4.26 avg rating,"Historical Fiction, Romance, Fantasy",1991
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.10 avg rating,"Historical Fiction, Fiction, Fantasy",1980
The Tao of Pooh,Benjamin Hoff,4.01 avg rating,"Philosophy, Nonfiction, Spirituality",1982
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.16 avg rating,"Self Help, Nonfiction, Business",1989
"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.73 avg rating,"Fantasy, Young Adult, Romance",2007
Ulysses,James Joyce,3.77 avg rating,"Fiction, Literature, Classics",1922
A Light in the Attic,Shel Silverstein,4.36 avg rating,"Poetry, Childrens, Classics",1981
The Phantom of the Opera,Gaston Leroux,3.96 avg rating,"Fiction, Horror, Romance",1910
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98 avg rating,"Fiction, Classics, Russia",1962
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.55 avg rating,"Fiction, Historical Fiction, Westerns",1985
"The Shining (The Shining, #1)",Stephen        King,4.28 avg rating,"Horror, Fiction, Thriller",1977
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75 avg rating,"Fantasy, Young Adult, Romance",2008
Those Empty Eyes,Charlie Donlea,4.16 avg rating,"Thriller, Mystery, Mystery Thriller",2023
The Jungle,Upton Sinclair,3.77 avg rating,"Classics, Fiction, Historical Fiction",1906
The Green Mile,Stephen        King,4.48 avg rating,"Horror, Fiction, Fantasy",1996
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52 avg rating,"Fantasy, Fiction, Epic Fantasy",2007
Treasure Island,Robert Louis Stevenson,3.85 avg rating,"Fiction, Adventure, Historical Fiction",1882
Paradise Lost,John Milton,3.85 avg rating,"Poetry, Fiction, Classics",1667
The God of Small Things,Arundhati Roy,3.96 avg rating,"Fiction, India, Historical Fiction",1997
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,3.65 avg rating,"Nonfiction, Sociology, Politics",2001
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.34 avg rating,"Nonfiction, Classics, Animals",1972
Horton Hears a Who!,Dr. Seuss,4.21 avg rating,"Childrens, Picture Books, Fiction",1954
The Iliad / The Odyssey,Homer,4.07 avg rating,"Fiction, Poetry, Mythology",Unknown
"Are You There God? It’s Me, Margaret",Judy Blume,3.94 avg rating,"Young Adult, Fiction, Childrens",1970
The House of the Spirits,Isabel Allende,4.29 avg rating,"Fiction, Magical Realism, Historical Fiction",1982
The Complete Works,William Shakespeare,4.48 avg rating,"Classics, Poetry, Fiction",1623
"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,4.42 avg rating,"Science Fiction, Fiction, Classics",1953
V for Vendetta,Alan             Moore,4.26 avg rating,"Graphic Novels, Comics, Fiction",1990
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50 avg rating,"Fantasy, Young Adult, Fiction",2003
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.61 avg rating,"Fantasy, Young Adult, Romance",2006
"Neverwhere (London Below, #1)",Neil Gaiman,4.17 avg rating,"Fantasy, Fiction, Urban Fantasy",1996
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21 avg rating,"Classics, Historical Fiction, Childrens",1932
Julius Caesar,William Shakespeare,3.71 avg rating,"Plays, Fiction, Drama",1599
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.39 avg rating,"Nonfiction, History, Biography",2010
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19 avg rating,"Historical Fiction, Fiction, Romance",2008
The Elements of Style,William Strunk Jr.,4.18 avg rating,"Writing, Nonfiction, Reference",1918
David Copperfield,Charles Dickens,4.04 avg rating,"Fiction, Literature, Historical Fiction",1850
The Importance of Being Earnest,Oscar Wilde,4.17 avg rating,"Classics, Plays, Fiction",1895
What Lies in the Woods,Kate Alice Marshall,3.95 avg rating,"Thriller, Mystery, Mystery Thriller",2023
For Whom the Bell Tolls,Ernest Hemingway,3.98 avg rating,"Classics, Historical Fiction, Literature",1940
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78 avg rating,"Philosophy, Fiction, Classics",1974
Death of a Salesman,Arthur Miller,3.58 avg rating,"Classics, Plays, Fiction",1949
The Communist Manifesto,Karl Marx,3.67 avg rating,"Philosophy, Nonfiction, Politics",1848
Othello,William Shakespeare,3.89 avg rating,"Classics, Plays, Fiction",1603
The Thorn Birds,Colleen McCullough,4.25 avg rating,"Fiction, Historical Fiction, Romance",1977
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.07 avg rating,"Nonfiction, Travel, Memoir",1998
It,Stephen        King,4.24 avg rating,"Horror, Fiction, Thriller",1986
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.52 avg rating,"Fantasy, Fiction, Retellings",1995
Beowulf,Unknown,3.49 avg rating,"Poetry, Fiction, Fantasy",1000
Room,Emma Donoghue,4.08 avg rating,"Fiction, Contemporary, Thriller",2010
Norwegian Wood,Haruki Murakami,really liked it 4.00 avg rating,"Fiction, Romance, Japan",1987
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96 avg rating,"Fantasy, Young Adult, Fiction",2002
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.30 avg rating,"Drama, Contemporary, Historical Fiction",2019
"Shōgun (Asian Saga, #1)",James Clavell,4.41 avg rating,"Historical Fiction, Fiction, Japan",1975
A Fine Balance,Rohinton Mistry,4.38 avg rating,"Fiction, Historical Fiction, India",1995
The Reader,Bernhard Schlink,3.78 avg rating,"Fiction, Historical Fiction, Classics",1995
The Plague,Albert Camus,4.02 avg rating,"Fiction, Classics, Philosophy",1947
Thirteen Reasons Why,Jay Asher,3.84 avg rating,"Young Adult, Fiction, Contemporary",2007
"The Chosen (Reuven Malther, #1)",Chaim Potok,4.07 avg rating,"Fiction, Classics, Historical Fiction",1966
The Martian Chronicles,Ray Bradbury,4.16 avg rating,"Science Fiction, Fiction, Classics",1950
The Awakening,Kate Chopin,3.68 avg rating,"Classics, Fiction, Feminism",1899
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Spencer Johnson,3.87 avg rating,"Nonfiction, Self Help, Business",1999
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09 avg rating,"Science Fiction, Fiction, Dystopia",1968
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23 avg rating,"Fiction, Humor, Historical Fiction",2002
"The Host (The Host, #1)",Stephenie Meyer,3.86 avg rating,"Fantasy, Young Adult, Science Fiction",2008
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3.81 avg rating,"History, Nonfiction, Biography",2014
Steppenwolf,Hermann Hesse,4.13 avg rating,"Fiction, Classics, Philosophy",1927
"Calvin and Hobbes (Calvin and Hobbes, #1)",Bill Watterson,4.61 avg rating,"Comics, Humor, Graphic Novels",1987
"Antigone (The Theban Plays, #3)",Sophocles,3.67 avg rating,"Classics, Plays, School",Unknown
Holy Bible: New International Version,Anonymous,4.62 avg rating,"Christian, Nonfiction, Classics",1455
Much Ado About Nothing,William Shakespeare,4.06 avg rating,"Plays, Fiction, Classics",1598
"Cry, the Beloved Country",Alan Paton,3.92 avg rating,"Fiction, Classics, Historical Fiction",1948
The Cider House Rules,John Irving,4.17 avg rating,"Fiction, Classics, Historical Fiction",1985
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24 avg rating,"Fiction, Mystery, Thriller",2007
Taming Flame,Therisa Peimer,4.29 avg rating,"Fiction, Novels, Magic",2022
"Wonder (Wonder, #1)",R.J. Palacio,4.36 avg rating,"Fiction, Young Adult, Middle Grade",2012
"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,4.29 avg rating,"Adventure, Novels, Fiction",2015
"Faust, First Part",Johann Wolfgang von Goethe,3.86 avg rating,"Fiction, Plays, Poetry",1808
Johnny Got His Gun,Dalton Trumbo,4.20 avg rating,"Fiction, Classics, War",1939
Kafka on the Shore,Haruki Murakami,4.12 avg rating,"Fiction, Magical Realism, Fantasy",2002
Inferno,Dante Alighieri,4.03 avg rating,"Classics, Poetry, Fiction",1320
The Pilgrim's Progress,John Bunyan,4.07 avg rating,"Fiction, Christian, Christian Fiction",1678
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.07 avg rating,"Fiction, Classics, Humor",1971
Dead Poets Society,N.H. Kleinbaum,4.17 avg rating,"Fiction, Young Adult, Contemporary",1988
Something Wicked This Way Comes,Ray Bradbury,3.90 avg rating,"Horror, Fantasy, Fiction",1962
"Oedipus Rex  (The Theban Plays, #1)",Sophocles,3.72 avg rating,"Classics, Plays, Fiction",Unknown
"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.79 avg rating,"Young Adult, Classics, Adventure",1987
"Think Twice (Myron Bolitar, #12)",Harlan Coben,4.26 avg rating,"Mystery, Thriller, Fiction",2024
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.12 avg rating,"Science Fiction, Fiction, Thriller",1990
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29 avg rating,"Fiction, Drama, Historical Fiction",2022
Gray After Dark,Noelle W. Ihli,4.23 avg rating,"Thriller, Mystery Thriller, Mystery",2024
The Complete Persepolis,Marjane Satrapi,4.40 avg rating,"Graphic Novels, Nonfiction, Comics",2007
"The House at Pooh Corner (Winnie-the-Pooh, #2)",A.A. Milne,4.38 avg rating,"Classics, Childrens, Fiction",1928
Common Sense,Thomas Paine,really liked it 4.00 avg rating,"History, Nonfiction, Classics",1776
"Not Forever, But For Now",Chuck Palahniuk,3.08 avg rating,"Fiction, Horror, Thriller",2023
The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,4.19 avg rating,"Self Help, Nonfiction, Spirituality",1997
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35 avg rating,"Fiction, Historical Fiction, Africa",1989
A Walk to Remember,Nicholas Sparks,4.20 avg rating,"Romance, Fiction, Contemporary",1999
Look Closer,David Ellis,4.18 avg rating,"Thriller, Mystery, Mystery Thriller",2022
No One Can Know,Kate Alice Marshall,3.67 avg rating,"Thriller, Mystery, Mystery Thriller",2024
The Club,Ellery Lloyd,3.29 avg rating,"Mystery, Thriller, Fiction",2022
The Art of Racing in the Rain,Garth Stein,4.23 avg rating,"Fiction, Animals, Dogs",2008
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07 avg rating,"Fantasy, Young Adult, Romance",2007
Shantaram,Gregory David Roberts,4.28 avg rating,"Fiction, Travel, Adventure",2003
The Roommate,Kiersten Modglin,3.82 avg rating,"Thriller, Psychological Thriller, Fiction",2021
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.12 avg rating,"Nonfiction, Science, History",2010
Cloud Atlas,David Mitchell,4.01 avg rating,"Fiction, Science Fiction, Fantasy",2004
Cosmos,Carl Sagan,4.40 avg rating,"Science, Nonfiction, Astronomy",1980
The Girl Who Was Taken,Charlie Donlea,4.19 avg rating,"Thriller, Mystery, Fiction",2017
Silent Spring,Rachel Carson,4.05 avg rating,"Nonfiction, Science, Environment",1962
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29 avg rating,"Fantasy, Fiction, Young Adult",2000
The Once and Future King,T.H. White,4.07 avg rating,"Fantasy, Classics, Fiction",1958
"Heidi (Heidi, #1-2)",Johanna Spyri,4.04 avg rating,"Classics, Fiction, Childrens",1880
Head Like a Hole,Andrew Van Wey,3.86 avg rating,"Horror, Fiction, Mystery",2022
Ask for Andrea,Noelle W. Ihli,4.09 avg rating,"Thriller, Horror, Mystery Thriller",2022
The Night Circus,Erin Morgenstern,4.01 avg rating,"Fantasy, Fiction, Romance",2011
Girl with a Pearl Earring,Tracy Chevalier,3.93 avg rating,"Historical Fiction, Fiction, Classics",1999
All the Light We Cannot See,Anthony Doerr,4.31 avg rating,"Historical Fiction, Fiction, Historical",2014
American Psycho,Bret Easton Ellis,3.81 avg rating,"Fiction, Horror, Classics",1991
The Shards,Bret Easton Ellis,really liked it 4.00 avg rating,"Fiction, Thriller, Horror",2023
The Glass Menagerie,Tennessee Williams,3.73 avg rating,"Plays, Classics, Fiction",1945
Waiting for Godot,Samuel Beckett,3.84 avg rating,"Plays, Classics, Fiction",1952
Narrative of the Life of Frederick Douglass,Frederick Douglass,4.12 avg rating,"Nonfiction, History, Classics",1845
Black Beauty,Anna Sewell,really liked it 4.00 avg rating,"Classics, Fiction, Childrens",1877
The Idiot,Fyodor Dostoevsky,4.21 avg rating,"Fiction, Russia, Russian Literature",1869
Native Son,Richard Wright,4.03 avg rating,"Fiction, Classics, Historical Fiction",1940
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,3.89 avg rating,"Classics, Science Fiction, Fiction",1869
Old Yeller,Fred Gipson,4.10 avg rating,"Classics, Fiction, Young Adult",1958
Sharp Objects,Gillian Flynn,4.01 avg rating,"Mystery, Thriller, Fiction",2006
"Viciously Yours (Fae Kings of Eden, #1)",Jamie Applegate Hunter,3.60 avg rating,"Fantasy, Romance, Fae",2024
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01 avg rating,"Nonfiction, Economics, Business",2005
"Inara (Godfrey Davis, #3)",A.R. Merrydew,4.36 avg rating,"Novels, Space, Science Fiction Fantasy",2024
Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,4.13 avg rating,"Africa, Travel, Nonfiction",2010
Murder on Family Grounds (Mary Wandwalker #3),Susan  Rowland,4.30 avg rating,"Mystery, Mystery Thriller, Drama",2024
Mrs. Dalloway,Virginia Woolf,3.79 avg rating,"Fiction, Classics, Literature",1925
"Inkheart (Inkworld, #1)",Cornelia Funke,3.92 avg rating,"Fantasy, Young Adult, Fiction",2003
The War of the Worlds,H.G. Wells,3.83 avg rating,"Science Fiction, Fiction, Classics",1898
"Magical Midlife Awakening (Leveling Up, #9)",K.F. Breene,4.62 avg rating,"Fantasy, Magic, Fiction",2024
The Complete Poems of Emily Dickinson,Emily Dickinson,4.28 avg rating,"Poetry, Classics, Fiction",1890
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16 avg rating,"Fiction, Childrens, Middle Grade",1967
"The Oldest Dance (Wisdom Revolution, #2)",Misba,4.71 avg rating,"Fantasy, Science Fiction, Science Fiction Fantasy",2021
"The High Auction (Wisdom Revolution, #1)",Misba,4.70 avg rating,"Fantasy, Science Fiction, Science Fiction Fantasy",2021
The Sound and the Fury,William Faulkner,3.86 avg rating,"Fiction, Literature, Classics",1929
Life Application Study Bible: NIV,Anonymous,4.65 avg rating,"Christian, Religion, Nonfiction",1988
Mansfield Park,Jane Austen,3.86 avg rating,"Fiction, Classics, Historical Fiction",1814
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.21 avg rating,"Classics, Historical Fiction, Childrens",1935
The Jungle Books,Rudyard Kipling,4.01 avg rating,"Classics, Fiction, Childrens",1895
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77 avg rating,"Young Adult, Fiction, Contemporary",2000
The Diving Bell and the Butterfly: A Memoir of Life in Death,Jean-Dominique Bauby,3.98 avg rating,"Nonfiction, Memoir, Biography",1997
The Epic of Gilgamesh,Anonymous,3.74 avg rating,"Poetry, Fiction, Mythology",1201
The Bluest Eye,Toni Morrison,4.12 avg rating,"Fiction, Classics, Historical Fiction",1970
My Ántonia,Willa Cather,3.84 avg rating,"Fiction, Historical Fiction, Classics",1918
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15 avg rating,"Classics, Childrens, Fiction",1945
Anthem,Ayn Rand,3.61 avg rating,"Fiction, Classics, Dystopia",1938
The Remains of the Day,Kazuo Ishiguro,4.14 avg rating,"Fiction, Historical Fiction, Classics",1989
The Art of Happiness,Dalai Lama XIV,4.17 avg rating,"Nonfiction, Philosophy, Spirituality",1998
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29 avg rating,"Fantasy, Young Adult, Fiction",1986
The Secret History,Donna Tartt,4.16 avg rating,"Fiction, Mystery, Classics",1992
The Thirteenth Tale,Diane Setterfield,3.98 avg rating,"Fiction, Mystery, Historical Fiction",2006
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12 avg rating,"Fiction, Thriller, Mystery",1989
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.94 avg rating,"Dark, Romance, BDSM",2011
White Fang,Jack London,4.03 avg rating,"Fiction, Classics, Adventure",1906
The Polymorph,Max Nowaz,4.28 avg rating,"Science Fiction, Fiction, Space",2023
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.84 avg rating,"Fiction, Short Stories, Classics",1958
The Heart Is a Lonely Hunter,Carson McCullers,3.99 avg rating,"Fiction, Classics, Literature",1940
The Drowning Woman,Robyn Harding,4.05 avg rating,"Thriller, Mystery, Mystery Thriller",2023
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09 avg rating,"Fantasy, Fiction, Young Adult",1952
Around the World in Eighty Days,Jules Verne,3.95 avg rating,"Classics, Fiction, Adventure",1872
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,3.99 avg rating,"Dark, Dark Romance, Romance",2013
The Left Hand of Darkness,Ursula K. Le Guin,4.10 avg rating,"Science Fiction, Fiction, Fantasy",1969
"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,3.42 avg rating,"Thriller, Fiction, Mystery",2022
"Consequences (Consequences, #1)",Aleatha Romig,3.92 avg rating,"Dark, Romance, Dark Romance",2011
"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74 avg rating,"Fantasy, Science Fiction, Science Fiction Fantasy",2023
Still Alice,Lisa Genova,4.32 avg rating,"Fiction, Contemporary, Psychology",2007
She’s Come Undone,Wally Lamb,3.91 avg rating,"Fiction, Contemporary, Chick Lit",1992
"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,4.41 avg rating,"Dark, Romance, Dark Romance",2015
11/22/63,Stephen        King,4.34 avg rating,"Fiction, Historical Fiction, Science Fiction",2011
Northanger Abbey,Jane Austen,3.85 avg rating,"Classics, Fiction, Gothic",1817
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14 avg rating,"Nonfiction, Animals, Memoir",2005
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08 avg rating,"Romance, Dark, New Adult",2013
King Lear,William Shakespeare,3.91 avg rating,"Plays, Fiction, Classics",1605
The Martian,Andy Weir,4.42 avg rating,"Science Fiction, Fiction, Audiobook",2011
"I, Robot (Robot, #0.1)",Isaac Asimov,4.21 avg rating,"Science Fiction, Fiction, Classics",1950
"Corrupt (Devil's Night, #1)",Penelope Douglas,3.79 avg rating,"Dark Romance, Dark, Enemies To Lovers",2015
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.22 avg rating,"History, Nonfiction, War",1960
Houdini Heart,Ki Longfellow,3.84 avg rating,"Horror, Fantasy, Mystery",2011
Travels with Charley: In Search of America,John Steinbeck,4.08 avg rating,"Nonfiction, Travel, Classics",1961
Different Seasons,Stephen        King,4.36 avg rating,"Horror, Fiction, Short Stories",1982
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01 avg rating,"Fantasy, Fiction, Young Adult",1968
Middlemarch,George Eliot,4.03 avg rating,"Classics, Fiction, Historical Fiction",1872
"Truth (Consequences, #2)",Aleatha Romig,4.34 avg rating,"Dark, Romance, Suspense",2012
The Wind-Up Bird Chronicle,Haruki Murakami,4.14 avg rating,"Fiction, Magical Realism, Fantasy",1994
Keep It in the Family,John Marrs,4.08 avg rating,"Thriller, Mystery, Mystery Thriller",2022
The Hunchback of Notre-Dame,Victor Hugo,4.02 avg rating,"Fiction, Classics, Historical Fiction",1831
Sarah's Key,Tatiana de Rosnay,4.18 avg rating,"Historical Fiction, Fiction, Holocaust",2006
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.19 avg rating,"Nonfiction, Food, Science",2006
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.10 avg rating,"Fantasy, Young Adult, Fiction",2000
World War Z: An Oral History of the Zombie War,Max Brooks,4.02 avg rating,"Horror, Fiction, Zombies",2006
Mistress Suffragette,Diana   Forbes,4.29 avg rating,"Historical Fiction, Fiction, New Adult",2017
A Portrait of the Artist as a Young Man,James Joyce,3.64 avg rating,"Classics, Fiction, Literature",1916
I Know This Much Is True,Wally Lamb,4.21 avg rating,"Fiction, Contemporary, Literary Fiction",1998
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.75 avg rating,"Food, Sociology, Politics",2001
"Deeper Than the Dead (Vera Boyett, #1)",Debra Webb,4.05 avg rating,"Mystery, Thriller, Fiction",2024
Breakfast of Champions,Kurt Vonnegut Jr.,4.06 avg rating,"Fiction, Classics, Science Fiction",1973
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.19 avg rating,"Classics, Fiction, Russia",1864
Harper Lee's To Kill a Mockingbird,Harold Bloom,4.26 avg rating,"Fiction, Historical Fiction, School",1960
Starship Troopers,Robert A. Heinlein,4.01 avg rating,"Science Fiction, Fiction, Military Fiction",1959
A Winter Grave,Peter  May,4.07 avg rating,"Crime, Mystery, Thriller",2023
The Power of Myth,Joseph Campbell,4.26 avg rating,"Nonfiction, Mythology, Philosophy",1988
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04 avg rating,"Romance, Dark Romance, Dark",2014
Paper Towns,John Green,3.70 avg rating,"Young Adult, Fiction, Contemporary",2008
Veronika Decides to Die,Paulo Coelho,3.73 avg rating,"Fiction, Contemporary, Philosophy",1998
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,really liked it 4.00 avg rating,"Nonfiction, History, True Crime",2003
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81 avg rating,"Fiction, Chick Lit, Romance",1996
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.28 avg rating,"Nonfiction, Self Help, Relationships",1990
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05 avg rating,"Fantasy, Fiction, Young Adult",1955
Twenty Years Later,Charlie Donlea,4.20 avg rating,"Thriller, Mystery, Fiction",2021
Snow Flower and the Secret Fan,Lisa See,4.09 avg rating,"Historical Fiction, Fiction, China",2005
"Ishmael (Ishmael, #1)",Daniel Quinn,4.01 avg rating,"Fiction, Philosophy, Spirituality",1992
The Selfish Gene,Richard Dawkins,4.16 avg rating,"Science, Nonfiction, Biology",1976
White Oleander,Janet Fitch,really liked it 4.00 avg rating,"Fiction, Coming Of Age, Contemporary",1999
The Very Secret Society of Irregular Witches,Sangu Mandanna,4.07 avg rating,"Fantasy, Romance, Fiction",2022
The Marriage Portrait,Maggie O'Farrell,4.01 avg rating,"Historical Fiction, Fiction, Historical",2022
The Graveyard Book,Neil Gaiman,4.16 avg rating,"Fantasy, Young Adult, Fiction",2008
"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11 avg rating,"Fiction, Contemporary, Classics",1993
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42 avg rating,"Fantasy, Fiction, Epic Fantasy",1998
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.98 avg rating,"Christian, Nonfiction, Religion",2002
The Prince and the Pauper,Mark Twain,3.87 avg rating,"Classics, Fiction, Historical Fiction",1881
The Three Witches and the Master,Max Nowaz,4.30 avg rating,Unknown,Unknown
Outliers: The Story of Success,Malcolm Gladwell,4.19 avg rating,"Nonfiction, Psychology, Business",2008
