,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
272,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,1990.0,"Fantasy, Fiction, Humor",2
273,A Brief History of Time,Stephen Hawking,4.21,1988.0,"Science, Nonfiction, Physics",2
274,The Secret Magdalene,Ki Longfellow,4.15,2005.0,"Historical Fiction, Fiction, Religion",2
275,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,1958.0,"Fiction, Classics, Historical Fiction",2
276,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,1901.0,"Mystery, Fiction, Crime",2
277,Hidden Pictures,Jason Rekulak,4.16,2022.0,"Horror, Thriller, Mystery",2
278,Island of the Blue Dolphins,Scott O'Dell,3.87,1960.0,"Fiction, Young Adult, Historical Fiction",2
279,A Short History of Nearly Everything,Bill Bryson,4.22,2003.0,"Nonfiction, Science, History",0
280,The Addiction Manifesto,Jerry Weaver,4.76,2018.0,"Nonfiction, Self Help, Memoir",0
281,Cat’s Cradle,Kurt Vonnegut Jr.,4.15,1963.0,"Fiction, Classics, Science Fiction",2
282,زندگی مه آلود پریا,سید مرتضی مصطفوی,3.34,2013.0,"Fiction, Book details & editions, ",2
283,The Raven,Edgar Allan Poe,4.29,1845.0,"Classics, Poetry, Horror",2
284,A Farewell to Arms,Ernest Hemingway,3.82,1929.0,"Fiction, Historical Fiction, Classics",2
285,A Separate Peace,John Knowles,3.6,1959.0,"Classics, Fiction, Historical Fiction",2
286,Blindness,José Saramago,4.18,1995.0,"Fiction, Dystopia, Classics",2
287,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,1987.0,"Fiction, Historical Fiction, Classics",2
288,The Complete Fairy Tales,Hans Christian Andersen,4.29,1850.0,"Classics, Fantasy, Fiction",2
289,The Shack,William Paul Young,3.83,2007.0,"Fiction, Christian, Christian Fiction",2
291,Madame Bovary,Gustave Flaubert,3.71,1856.0,"Fiction, Classics, France",2
292,The Joy Luck Club,Amy Tan,3.97,1989.0,"Fiction, Historical Fiction, Classics",2
293,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,3.95,2000.0,"Fiction, Mystery, Thriller",2
294,How to Win Friends & Influence People,Dale Carnegie,4.22,1936.0,"Self Help, Nonfiction, Business",2
295,The God Delusion,Richard Dawkins,3.9,2006.0,"Nonfiction, Religion, Science",2
296,The Neverending Story,Michael Ende,4.18,1979.0,"Fantasy, Fiction, Young Adult",2
297,Sophie’s Choice,William Styron,4.17,1979.0,"Fiction, Historical Fiction, Holocaust",2
298,Never Let Me Go,Kazuo Ishiguro,3.85,2005.0,"Fiction, Science Fiction, Dystopia",2
299,A Confederacy of Dunces,John Kennedy Toole,3.89,1980.0,"Fiction, Humor, Literature",2
300,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,1997.0,"History, Nonfiction, Science",0
301,The Color Purple,Alice Walker,4.27,1982.0,"Fiction, Historical Fiction, Feminism",2
302,Tess of the D’Urbervilles,Thomas Hardy,3.84,1891.0,"Classics, Fiction, Literature",2
303,Flow Down Like Silver,Ki Longfellow,4.01,2009.0,"Historical Fiction, Fiction, Egypt",2
304,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,2005.0,"Fiction, Historical Fiction, Contemporary",2
305,Local Woman Missing,Mary Kubica,4.13,2021.0,"Thriller, Mystery, Mystery Thriller",2
306,"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1991.0,"Historical Fiction, Romance, Fantasy",2
307,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.1,1980.0,"Historical Fiction, Fiction, Fantasy",2
308,The Tao of Pooh,Benjamin Hoff,4.01,1982.0,"Philosophy, Nonfiction, Spirituality",2
309,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.16,1989.0,"Self Help, Nonfiction, Business",2
310,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.73,2007.0,"Fantasy, Young Adult, Romance",2
311,Ulysses,James Joyce,3.77,1922.0,"Fiction, Literature, Classics",2
312,A Light in the Attic,Shel Silverstein,4.36,1981.0,"Poetry, Childrens, Classics",2
313,The Phantom of the Opera,Gaston Leroux,3.96,1910.0,"Fiction, Horror, Romance",2
314,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98,1962.0,"Fiction, Classics, Russia",2
315,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.55,1985.0,"Fiction, Historical Fiction, Westerns",2
316,"The Shining (The Shining, #1)",Stephen        King,4.28,1977.0,"Horror, Fiction, Thriller",2
317,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75,2008.0,"Fantasy, Young Adult, Romance",2
318,Those Empty Eyes,Charlie Donlea,4.16,2023.0,"Thriller, Mystery, Mystery Thriller",2
319,The Jungle,Upton Sinclair,3.77,1906.0,"Classics, Fiction, Historical Fiction",2
320,The Green Mile,Stephen        King,4.48,1996.0,"Horror, Fiction, Fantasy",2
321,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,2007.0,"Fantasy, Fiction, Epic Fantasy",2
322,Treasure Island,Robert Louis Stevenson,3.85,1882.0,"Fiction, Adventure, Historical Fiction",2
323,Paradise Lost,John Milton,3.85,1667.0,"Poetry, Fiction, Classics",2
324,The God of Small Things,Arundhati Roy,3.96,1997.0,"Fiction, India, Historical Fiction",2
325,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,3.65,2001.0,"Nonfiction, Sociology, Politics",0
326,All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.34,1972.0,"Nonfiction, Classics, Animals",2
327,Horton Hears a Who!,Dr. Seuss,4.21,1954.0,"Childrens, Picture Books, Fiction",2
329,"Are You There God? It’s Me, Margaret",Judy Blume,3.94,1970.0,"Young Adult, Fiction, Childrens",2
330,The House of the Spirits,Isabel Allende,4.29,1982.0,"Fiction, Magical Realism, Historical Fiction",2
331,The Complete Works,William Shakespeare,4.48,1623.0,"Classics, Poetry, Fiction",2
332,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,4.42,1953.0,"Science Fiction, Fiction, Classics",2
333,V for Vendetta,Alan             Moore,4.26,1990.0,"Graphic Novels, Comics, Fiction",2
334,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,2003.0,"Fantasy, Young Adult, Fiction",2
335,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.61,2006.0,"Fantasy, Young Adult, Romance",2
336,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,1996.0,"Fantasy, Fiction, Urban Fantasy",2
337,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21,1932.0,"Classics, Historical Fiction, Childrens",2
338,Julius Caesar,William Shakespeare,3.71,1599.0,"Plays, Fiction, Drama",2
339,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.39,2010.0,"Nonfiction, History, Biography",0
340,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,2008.0,"Historical Fiction, Fiction, Romance",2
341,The Elements of Style,William Strunk Jr.,4.18,1918.0,"Writing, Nonfiction, Reference",2
342,David Copperfield,Charles Dickens,4.04,1850.0,"Fiction, Literature, Historical Fiction",2
343,The Importance of Being Earnest,Oscar Wilde,4.17,1895.0,"Classics, Plays, Fiction",2
344,What Lies in the Woods,Kate Alice Marshall,3.95,2023.0,"Thriller, Mystery, Mystery Thriller",2
345,For Whom the Bell Tolls,Ernest Hemingway,3.98,1940.0,"Classics, Historical Fiction, Literature",2
346,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,1974.0,"Philosophy, Fiction, Classics",2
347,Death of a Salesman,Arthur Miller,3.58,1949.0,"Classics, Plays, Fiction",2
348,The Communist Manifesto,Karl Marx,3.67,1848.0,"Philosophy, Nonfiction, Politics",0
349,Othello,William Shakespeare,3.89,1603.0,"Classics, Plays, Fiction",2
350,The Thorn Birds,Colleen McCullough,4.25,1977.0,"Fiction, Historical Fiction, Romance",2
351,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.07,1998.0,"Nonfiction, Travel, Memoir",0
352,It,Stephen        King,4.24,1986.0,"Horror, Fiction, Thriller",2
353,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.52,1995.0,"Fantasy, Fiction, Retellings",2
354,Beowulf,Unknown,3.49,1000.0,"Poetry, Fiction, Fantasy",2
355,Room,Emma Donoghue,4.08,2010.0,"Fiction, Contemporary, Thriller",2
356,Norwegian Wood,Haruki Murakami,4.0,1987.0,"Fiction, Romance, Japan",2
357,Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96,2002.0,"Fantasy, Young Adult, Fiction",2
358,"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.3,2019.0,"Drama, Contemporary, Historical Fiction",2
359,"Shōgun (Asian Saga, #1)",James Clavell,4.41,1975.0,"Historical Fiction, Fiction, Japan",2
360,A Fine Balance,Rohinton Mistry,4.38,1995.0,"Fiction, Historical Fiction, India",2
361,The Reader,Bernhard Schlink,3.78,1995.0,"Fiction, Historical Fiction, Classics",2
362,The Plague,Albert Camus,4.02,1947.0,"Fiction, Classics, Philosophy",2
363,Thirteen Reasons Why,Jay Asher,3.84,2007.0,"Young Adult, Fiction, Contemporary",2
364,"The Chosen (Reuven Malther, #1)",Chaim Potok,4.07,1966.0,"Fiction, Classics, Historical Fiction",2
365,The Martian Chronicles,Ray Bradbury,4.16,1950.0,"Science Fiction, Fiction, Classics",2
366,The Awakening,Kate Chopin,3.68,1899.0,"Classics, Fiction, Feminism",2
367,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Spencer Johnson,3.87,1999.0,"Nonfiction, Self Help, Business",2
368,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,1968.0,"Science Fiction, Fiction, Dystopia",2
369,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,2002.0,"Fiction, Humor, Historical Fiction",2
370,"The Host (The Host, #1)",Stephenie Meyer,3.86,2008.0,"Fantasy, Young Adult, Science Fiction",2
371,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3.81,2014.0,"History, Nonfiction, Biography",0
372,Steppenwolf,Hermann Hesse,4.13,1927.0,"Fiction, Classics, Philosophy",2
373,"Calvin and Hobbes (Calvin and Hobbes, #1)",Bill Watterson,4.61,1987.0,"Comics, Humor, Graphic Novels",2
375,Holy Bible: New International Version,Anonymous,4.62,1455.0,"Christian, Nonfiction, Classics",2
376,Much Ado About Nothing,William Shakespeare,4.06,1598.0,"Plays, Fiction, Classics",2
377,"Cry, the Beloved Country",Alan Paton,3.92,1948.0,"Fiction, Classics, Historical Fiction",2
378,The Cider House Rules,John Irving,4.17,1985.0,"Fiction, Classics, Historical Fiction",2
379,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,2007.0,"Fiction, Mystery, Thriller",2
380,Taming Flame,Therisa Peimer,4.29,2022.0,"Fiction, Novels, Magic",2
381,"Wonder (Wonder, #1)",R.J. Palacio,4.36,2012.0,"Fiction, Young Adult, Middle Grade",2
382,"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,4.29,2015.0,"Adventure, Novels, Fiction",2
383,"Faust, First Part",Johann Wolfgang von Goethe,3.86,1808.0,"Fiction, Plays, Poetry",2
384,Johnny Got His Gun,Dalton Trumbo,4.2,1939.0,"Fiction, Classics, War",2
385,Kafka on the Shore,Haruki Murakami,4.12,2002.0,"Fiction, Magical Realism, Fantasy",2
386,Inferno,Dante Alighieri,4.03,1320.0,"Classics, Poetry, Fiction",2
387,The Pilgrim's Progress,John Bunyan,4.07,1678.0,"Fiction, Christian, Christian Fiction",2
388,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.07,1971.0,"Fiction, Classics, Humor",2
389,Dead Poets Society,N.H. Kleinbaum,4.17,1988.0,"Fiction, Young Adult, Contemporary",2
390,Something Wicked This Way Comes,Ray Bradbury,3.9,1962.0,"Horror, Fantasy, Fiction",2
392,"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.79,1987.0,"Young Adult, Classics, Adventure",2
393,"Think Twice (Myron Bolitar, #12)",Harlan Coben,4.26,2024.0,"Mystery, Thriller, Fiction",2
394,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.12,1990.0,"Science Fiction, Fiction, Thriller",2
395,Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29,2022.0,"Fiction, Drama, Historical Fiction",2
396,Gray After Dark,Noelle W. Ihli,4.23,2024.0,"Thriller, Mystery Thriller, Mystery",2
397,The Complete Persepolis,Marjane Satrapi,4.4,2007.0,"Graphic Novels, Nonfiction, Comics",2
398,"The House at Pooh Corner (Winnie-the-Pooh, #2)",A.A. Milne,4.38,1928.0,"Classics, Childrens, Fiction",2
399,Common Sense,Thomas Paine,4.0,1776.0,"History, Nonfiction, Classics",0
400,"Not Forever, But For Now",Chuck Palahniuk,3.08,2023.0,"Fiction, Horror, Thriller",2
401,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,4.19,1997.0,"Self Help, Nonfiction, Spirituality",2
402,"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35,1989.0,"Fiction, Historical Fiction, Africa",2
403,A Walk to Remember,Nicholas Sparks,4.2,1999.0,"Romance, Fiction, Contemporary",2
404,Look Closer,David Ellis,4.18,2022.0,"Thriller, Mystery, Mystery Thriller",2
405,No One Can Know,Kate Alice Marshall,3.67,2024.0,"Thriller, Mystery, Mystery Thriller",2
406,The Club,Ellery Lloyd,3.29,2022.0,"Mystery, Thriller, Fiction",2
407,The Art of Racing in the Rain,Garth Stein,4.23,2008.0,"Fiction, Animals, Dogs",2
408,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2007.0,"Fantasy, Young Adult, Romance",2
409,Shantaram,Gregory David Roberts,4.28,2003.0,"Fiction, Travel, Adventure",2
410,The Roommate,Kiersten Modglin,3.82,2021.0,"Thriller, Psychological Thriller, Fiction",2
411,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.12,2010.0,"Nonfiction, Science, History",0
412,Cloud Atlas,David Mitchell,4.01,2004.0,"Fiction, Science Fiction, Fantasy",2
413,Cosmos,Carl Sagan,4.4,1980.0,"Science, Nonfiction, Astronomy",2
414,The Girl Who Was Taken,Charlie Donlea,4.19,2017.0,"Thriller, Mystery, Fiction",2
415,Silent Spring,Rachel Carson,4.05,1962.0,"Nonfiction, Science, Environment",2
416,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,2000.0,"Fantasy, Fiction, Young Adult",2
417,The Once and Future King,T.H. White,4.07,1958.0,"Fantasy, Classics, Fiction",2
418,"Heidi (Heidi, #1-2)",Johanna Spyri,4.04,1880.0,"Classics, Fiction, Childrens",2
419,Head Like a Hole,Andrew Van Wey,3.86,2022.0,"Horror, Fiction, Mystery",2
420,Ask for Andrea,Noelle W. Ihli,4.09,2022.0,"Thriller, Horror, Mystery Thriller",2
421,The Night Circus,Erin Morgenstern,4.01,2011.0,"Fantasy, Fiction, Romance",2
422,Girl with a Pearl Earring,Tracy Chevalier,3.93,1999.0,"Historical Fiction, Fiction, Classics",2
423,All the Light We Cannot See,Anthony Doerr,4.31,2014.0,"Historical Fiction, Fiction, Historical",2
424,American Psycho,Bret Easton Ellis,3.81,1991.0,"Fiction, Horror, Classics",2
425,The Shards,Bret Easton Ellis,4.0,2023.0,"Fiction, Thriller, Horror",2
426,The Glass Menagerie,Tennessee Williams,3.73,1945.0,"Plays, Classics, Fiction",2
427,Waiting for Godot,Samuel Beckett,3.84,1952.0,"Plays, Classics, Fiction",2
428,Narrative of the Life of Frederick Douglass,Frederick Douglass,4.12,1845.0,"Nonfiction, History, Classics",0
429,Black Beauty,Anna Sewell,4.0,1877.0,"Classics, Fiction, Childrens",2
430,The Idiot,Fyodor Dostoevsky,4.21,1869.0,"Fiction, Russia, Russian Literature",2
431,Native Son,Richard Wright,4.03,1940.0,"Fiction, Classics, Historical Fiction",2
432,"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,3.89,1869.0,"Classics, Science Fiction, Fiction",2
433,Old Yeller,Fred Gipson,4.1,1958.0,"Classics, Fiction, Young Adult",2
434,Sharp Objects,Gillian Flynn,4.01,2006.0,"Mystery, Thriller, Fiction",2
435,"Viciously Yours (Fae Kings of Eden, #1)",Jamie Applegate Hunter,3.6,2024.0,"Fantasy, Romance, Fae",2
436,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01,2005.0,"Nonfiction, Economics, Business",0
437,"Inara (Godfrey Davis, #3)",A.R. Merrydew,4.36,2024.0,"Novels, Space, Science Fiction Fantasy",2
438,Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,4.13,2010.0,"Africa, Travel, Nonfiction",2
439,Murder on Family Grounds (Mary Wandwalker #3),Susan  Rowland,4.3,2024.0,"Mystery, Mystery Thriller, Drama",2
440,Mrs. Dalloway,Virginia Woolf,3.79,1925.0,"Fiction, Classics, Literature",2
441,"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,2003.0,"Fantasy, Young Adult, Fiction",2
442,The War of the Worlds,H.G. Wells,3.83,1898.0,"Science Fiction, Fiction, Classics",2
443,"Magical Midlife Awakening (Leveling Up, #9)",K.F. Breene,4.62,2024.0,"Fantasy, Magic, Fiction",2
444,The Complete Poems of Emily Dickinson,Emily Dickinson,4.28,1890.0,"Poetry, Classics, Fiction",2
445,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16,1967.0,"Fiction, Childrens, Middle Grade",2
446,"The Oldest Dance (Wisdom Revolution, #2)",Misba,4.71,2021.0,"Fantasy, Science Fiction, Science Fiction Fantasy",2
447,"The High Auction (Wisdom Revolution, #1)",Misba,4.7,2021.0,"Fantasy, Science Fiction, Science Fiction Fantasy",2
448,The Sound and the Fury,William Faulkner,3.86,1929.0,"Fiction, Literature, Classics",2
449,Life Application Study Bible: NIV,Anonymous,4.65,1988.0,"Christian, Religion, Nonfiction",2
450,Mansfield Park,Jane Austen,3.86,1814.0,"Fiction, Classics, Historical Fiction",2
451,"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.21,1935.0,"Classics, Historical Fiction, Childrens",2
452,The Jungle Books,Rudyard Kipling,4.01,1895.0,"Classics, Fiction, Childrens",2
453,"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77,2000.0,"Young Adult, Fiction, Contemporary",2
454,The Diving Bell and the Butterfly: A Memoir of Life in Death,Jean-Dominique Bauby,3.98,1997.0,"Nonfiction, Memoir, Biography",0
455,The Epic of Gilgamesh,Anonymous,3.74,1201.0,"Poetry, Fiction, Mythology",2
456,The Bluest Eye,Toni Morrison,4.12,1970.0,"Fiction, Classics, Historical Fiction",2
457,My Ántonia,Willa Cather,3.84,1918.0,"Fiction, Historical Fiction, Classics",2
458,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,1945.0,"Classics, Childrens, Fiction",2
459,Anthem,Ayn Rand,3.61,1938.0,"Fiction, Classics, Dystopia",2
460,The Remains of the Day,Kazuo Ishiguro,4.14,1989.0,"Fiction, Historical Fiction, Classics",2
461,The Art of Happiness,Dalai Lama XIV,4.17,1998.0,"Nonfiction, Philosophy, Spirituality",2
462,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,1986.0,"Fantasy, Young Adult, Fiction",2
463,The Secret History,Donna Tartt,4.16,1992.0,"Fiction, Mystery, Classics",2
464,The Thirteenth Tale,Diane Setterfield,3.98,2006.0,"Fiction, Mystery, Historical Fiction",2
465,"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,1989.0,"Fiction, Thriller, Mystery",2
466,"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.94,2011.0,"Dark, Romance, BDSM",2
467,White Fang,Jack London,4.03,1906.0,"Fiction, Classics, Adventure",2
468,The Polymorph,Max Nowaz,4.28,2023.0,"Science Fiction, Fiction, Space",2
469,Breakfast at Tiffany’s and Three Stories,Truman Capote,3.84,1958.0,"Fiction, Short Stories, Classics",2
470,The Heart Is a Lonely Hunter,Carson McCullers,3.99,1940.0,"Fiction, Classics, Literature",2
471,The Drowning Woman,Robyn Harding,4.05,2023.0,"Thriller, Mystery, Mystery Thriller",2
472,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,1952.0,"Fantasy, Fiction, Young Adult",2
473,Around the World in Eighty Days,Jules Verne,3.95,1872.0,"Classics, Fiction, Adventure",2
474,"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,3.99,2013.0,"Dark, Dark Romance, Romance",2
475,The Left Hand of Darkness,Ursula K. Le Guin,4.1,1969.0,"Science Fiction, Fiction, Fantasy",2
476,"The Girl in the Eagle's Talons (Millennium, #7)",Karin Smirnoff,3.42,2022.0,"Thriller, Fiction, Mystery",2
477,"Consequences (Consequences, #1)",Aleatha Romig,3.92,2011.0,"Dark, Romance, Dark Romance",2
478,"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74,2023.0,"Fantasy, Science Fiction, Science Fiction Fantasy",2
479,Still Alice,Lisa Genova,4.32,2007.0,"Fiction, Contemporary, Psychology",2
480,She’s Come Undone,Wally Lamb,3.91,1992.0,"Fiction, Contemporary, Chick Lit",2
481,"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,4.41,2015.0,"Dark, Romance, Dark Romance",2
482,11/22/63,Stephen        King,4.34,2011.0,"Fiction, Historical Fiction, Science Fiction",2
483,Northanger Abbey,Jane Austen,3.85,1817.0,"Classics, Fiction, Gothic",2
484,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,2005.0,"Nonfiction, Animals, Memoir",0
485,"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08,2013.0,"Romance, Dark, New Adult",2
486,King Lear,William Shakespeare,3.91,1605.0,"Plays, Fiction, Classics",2
487,The Martian,Andy Weir,4.42,2011.0,"Science Fiction, Fiction, Audiobook",2
488,"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,1950.0,"Science Fiction, Fiction, Classics",2
489,"Corrupt (Devil's Night, #1)",Penelope Douglas,3.79,2015.0,"Dark Romance, Dark, Enemies To Lovers",2
490,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.22,1960.0,"History, Nonfiction, War",0
491,Houdini Heart,Ki Longfellow,3.84,2011.0,"Horror, Fantasy, Mystery",2
492,Travels with Charley: In Search of America,John Steinbeck,4.08,1961.0,"Nonfiction, Travel, Classics",2
493,Different Seasons,Stephen        King,4.36,1982.0,"Horror, Fiction, Short Stories",2
494,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01,1968.0,"Fantasy, Fiction, Young Adult",2
495,Middlemarch,George Eliot,4.03,1872.0,"Classics, Fiction, Historical Fiction",2
496,"Truth (Consequences, #2)",Aleatha Romig,4.34,2012.0,"Dark, Romance, Suspense",2
497,The Wind-Up Bird Chronicle,Haruki Murakami,4.14,1994.0,"Fiction, Magical Realism, Fantasy",2
498,Keep It in the Family,John Marrs,4.08,2022.0,"Thriller, Mystery, Mystery Thriller",2
499,The Hunchback of Notre-Dame,Victor Hugo,4.02,1831.0,"Fiction, Classics, Historical Fiction",2
500,Sarah's Key,Tatiana de Rosnay,4.18,2006.0,"Historical Fiction, Fiction, Holocaust",2
501,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.19,2006.0,"Nonfiction, Food, Science",0
502,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.1,2000.0,"Fantasy, Young Adult, Fiction",2
503,World War Z: An Oral History of the Zombie War,Max Brooks,4.02,2006.0,"Horror, Fiction, Zombies",2
504,Mistress Suffragette,Diana   Forbes,4.29,2017.0,"Historical Fiction, Fiction, New Adult",2
505,A Portrait of the Artist as a Young Man,James Joyce,3.64,1916.0,"Classics, Fiction, Literature",2
506,I Know This Much Is True,Wally Lamb,4.21,1998.0,"Fiction, Contemporary, Literary Fiction",2
507,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.75,2001.0,"Food, Sociology, Politics",0
508,"Deeper Than the Dead (Vera Boyett, #1)",Debra Webb,4.05,2024.0,"Mystery, Thriller, Fiction",2
509,Breakfast of Champions,Kurt Vonnegut Jr.,4.06,1973.0,"Fiction, Classics, Science Fiction",2
510,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.19,1864.0,"Classics, Fiction, Russia",2
511,Harper Lee's To Kill a Mockingbird,Harold Bloom,4.26,1960.0,"Fiction, Historical Fiction, School",2
512,Starship Troopers,Robert A. Heinlein,4.01,1959.0,"Science Fiction, Fiction, Military Fiction",2
513,A Winter Grave,Peter  May,4.07,2023.0,"Crime, Mystery, Thriller",2
514,The Power of Myth,Joseph Campbell,4.26,1988.0,"Nonfiction, Mythology, Philosophy",2
515,"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04,2014.0,"Romance, Dark Romance, Dark",2
516,Paper Towns,John Green,3.7,2008.0,"Young Adult, Fiction, Contemporary",2
517,Veronika Decides to Die,Paulo Coelho,3.73,1998.0,"Fiction, Contemporary, Philosophy",2
518,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,4.0,2003.0,"Nonfiction, History, True Crime",0
519,"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81,1996.0,"Fiction, Chick Lit, Romance",2
520,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.28,1990.0,"Nonfiction, Self Help, Relationships",2
521,"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,1955.0,"Fantasy, Fiction, Young Adult",2
522,Twenty Years Later,Charlie Donlea,4.2,2021.0,"Thriller, Mystery, Fiction",2
523,Snow Flower and the Secret Fan,Lisa See,4.09,2005.0,"Historical Fiction, Fiction, China",2
524,"Ishmael (Ishmael, #1)",Daniel Quinn,4.01,1992.0,"Fiction, Philosophy, Spirituality",2
525,The Selfish Gene,Richard Dawkins,4.16,1976.0,"Science, Nonfiction, Biology",2
526,White Oleander,Janet Fitch,4.0,1999.0,"Fiction, Coming Of Age, Contemporary",2
527,The Very Secret Society of Irregular Witches,Sangu Mandanna,4.07,2022.0,"Fantasy, Romance, Fiction",2
528,The Marriage Portrait,Maggie O'Farrell,4.01,2022.0,"Historical Fiction, Fiction, Historical",2
529,The Graveyard Book,Neil Gaiman,4.16,2008.0,"Fantasy, Young Adult, Fiction",2
530,"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11,1993.0,"Fiction, Contemporary, Classics",2
531,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,1998.0,"Fantasy, Fiction, Epic Fantasy",2
532,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.98,2002.0,"Christian, Nonfiction, Religion",2
533,The Prince and the Pauper,Mark Twain,3.87,1881.0,"Classics, Fiction, Historical Fiction",2
535,Outliers: The Story of Success,Malcolm Gladwell,4.19,2008.0,"Nonfiction, Psychology, Business",2
536,Salvager: A Military Science Fiction Adventure,Scott Moon,4.21,2024.0,"Science Fiction, Young Adult, Space Opera",2
537,The Autobiography of Benjamin Franklin,Benjamin Franklin,3.86,1791.0,"Biography, History, Nonfiction",0
